order_id,purchase_date,order_status,total_price
H9,2024-07-13,Completed,2373.57
I1,2023-10-17,Cancelled,1729.21
I2,2023-12-30,Completed,1689.66
I3,2024-05-21,Completed,145.25
I4,2023-11-29,Cancelled,62.25
I5,2024-06-17,Completed,7603.47
I6,2024-07-11,Completed,2223.27
I7,2024-09-12,Completed,1976.24
I8,2023-11-06,Completed,7603.47
I9,2023-12-26,Completed,2373.57
J1,2024-05-14,Completed,1482.18
J2,2023-10-24,Completed,41.5
J3,2024-09-12,Completed,3164.76
J4,2024-09-15,Completed,2373.57
J5,2024-01-03,Cancelled,3164.76
J6,2024-08-18,Completed,247.03
J7,2024-07-29,Completed,3379.32
J8,2023-10-11,Completed,20.75
J9,2024-05-02,Completed,741.09
K1,2024-07-01,Completed,166
K2,2024-08-09,Completed,3955.95
K3,2024-05-04,Cancelled,741.09
K4,2024-03-22,Cancelled,1689.66
K5,2024-04-27,Completed,7120.71
K6,2024-05-07,Completed,20.75
K7,2023-12-13,Completed,41.5
K8,2024-05-15,Completed,4639.6
K9,2024-03-25,Completed,988.12
L1,2023-10-09,Cancelled,1582.38
L2,2024-05-31,Cancelled,1391.88
L3,2024-02-29,Completed,741.09
L4,2024-05-19,Completed,3379.32
L5,2023-10-09,Completed,207.5
L6,2023-10-25,Cancelled,791.19
L7,2024-05-23,Completed,41.5
L8,2024-07-23,Completed,62.25
L9,2024-08-06,Cancelled,166
M1,2024-09-20,Completed,1482.18
M2,2024-03-25,Cancelled,1855.84
M3,2024-07-13,Completed,186.75
M4,2024-07-11,Completed,207.5
M5,2024-02-15,Completed,2223.27
M6,2024-06-19,Completed,2223.27
M7,2024-01-31,Completed,4747.14
M8,2023-12-30,Cancelled,791.19
M9,2024-06-04,Completed,844.83
N1,2024-09-10,Completed,247.03
N2,2024-01-10,Cancelled,4175.64
N3,2024-05-20,Completed,4175.64
N4,2024-03-06,Completed,1689.66
N5,2024-01-12,Completed,1482.18
N6,2023-12-13,Completed,186.75
N7,2024-02-25,Cancelled,103.75
N8,2024-09-15,Cancelled,5538.33
N9,2024-04-09,Cancelled,6758.64
O1,2024-08-12,Completed,791.19
O2,2024-02-12,Completed,1855.84
O3,2024-02-26,Completed,3711.68
O4,2024-09-05,Completed,3164.76
O5,2024-01-08,Completed,5913.81
O6,2024-08-24,Completed,3711.68
O7,2023-12-06,Completed,6758.64
O8,2024-03-22,Cancelled,166
O9,2023-12-09,Cancelled,20.75
P1,2023-11-04,Completed,4747.14
P2,2024-05-02,Completed,124.5
P3,2024-03-27,Completed,1391.88
P4,2024-07-06,Completed,6758.64
P5,2023-12-01,Completed,6329.52
P6,2023-12-22,Completed,927.92
P7,2024-06-10,Cancelled,3711.68
P8,2024-07-22,Completed,7120.71
P9,2023-12-14,Completed,844.83
Q1,2024-09-21,Cancelled,6329.52
Q2,2023-12-02,Completed,20.75
Q3,2023-12-30,Completed,1391.88
Q4,2024-04-14,Completed,3711.68
Q5,2023-10-26,Completed,4175.64
Q6,2023-12-06,Completed,3379.32
Q7,2024-02-26,Completed,844.83
Q8,2024-01-19,Completed,83
Q9,2024-05-23,Completed,62.25
R1,2024-09-13,Cancelled,5068.98
R2,2024-07-19,Completed,8448.3
R3,2024-03-05,Completed,2470.3
R4,2024-03-14,Cancelled,927.92
R5,2024-08-17,Completed,3955.95
R6,2023-10-30,Completed,3379.32
R7,2024-07-06,Cancelled,103.75
R8,2024-08-11,Completed,83
R9,2024-03-16,Completed,5538.33
S1,2024-04-10,Completed,1235.15
S2,2024-07-18,Cancelled,166
S3,2024-02-10,Completed,124.5
S4,2024-09-09,Completed,463.96
S5,2024-03-17,Completed,5913.81
S6,2024-05-22,Completed,3955.95
S7,2024-09-04,Cancelled,83
S8,2024-08-02,Cancelled,3379.32
S9,2023-12-05,Completed,124.5
T1,2023-10-27,Cancelled,1391.88
T2,2023-10-03,Cancelled,5538.33
T3,2024-05-23,Cancelled,2783.76
T4,2024-04-01,Completed,5538.33
T5,2023-10-08,Completed,3247.72
T6,2023-12-15,Completed,4175.64
T7,2024-08-06,Completed,988.12
T8,2024-09-07,Completed,741.09
T9,2024-02-11,Cancelled,62.25
U1,2024-08-13,Cancelled,988.12
U2,2023-11-05,Cancelled,844.83
U3,2024-09-17,Completed,3247.72
U4,2024-05-30,Completed,2783.76
U5,2024-04-23,Cancelled,247.03
U6,2024-03-15,Completed,7603.47
U7,2024-08-04,Completed,3955.95
U8,2023-11-15,Completed,3955.95
U9,2023-11-17,Completed,7911.9
V1,2023-09-29,Cancelled,463.96
V2,2024-09-18,Cancelled,247.03
V3,2024-08-09,Completed,1391.88
V4,2024-02-06,Cancelled,2534.49
V5,2023-12-01,Cancelled,247.03
V6,2024-02-02,Completed,2534.49
V7,2024-01-28,Completed,2373.57
V8,2024-08-21,Cancelled,1976.24
V9,2023-11-17,Completed,494.06
W1,2023-12-03,Completed,1729.21
W2,2023-12-26,Completed,6758.64
W3,2024-08-10,Completed,494.06
W4,2023-11-24,Completed,41.5
W5,2024-02-25,Cancelled,5913.81
W6,2024-09-14,Cancelled,207.5
W7,2024-06-04,Completed,494.06
W8,2024-08-18,Completed,1976.24
W9,2023-11-12,Completed,494.06
X1,2023-10-13,Completed,3247.72
X2,2023-12-14,Cancelled,3711.68
X3,2024-04-07,Completed,791.19
X4,2024-05-10,Completed,463.96
X5,2024-05-10,Completed,62.25
X6,2024-06-30,Completed,4224.15
X7,2024-09-21,Cancelled,4175.64
X8,2024-07-11,Completed,1482.18
X9,2024-01-17,Cancelled,4747.14
Y1,2024-04-30,Completed,2319.8
Y2,2024-08-02,Completed,1729.21
Y3,2024-07-25,Completed,844.83
Y4,2024-02-26,Completed,8448.3
Y5,2024-04-29,Cancelled,741.09
Y6,2024-01-04,Completed,62.25
Y7,2024-01-29,Completed,2223.27
Y8,2024-07-07,Completed,844.83
Y9,2024-04-10,Cancelled,6758.64
Z1,2023-12-18,Cancelled,7603.47
Z2,2024-09-15,Cancelled,7120.71
Z3,2024-09-20,Completed,2373.57
Z4,2024-02-09,Completed,103.75
Z5,2024-02-15,Completed,186.75
Z6,2024-03-22,Completed,6758.64
Z7,2024-03-24,Completed,207.5
Z8,2023-12-29,Cancelled,2534.49
Z9,2024-03-13,Cancelled,8448.3
A1.1,2024-08-08,Completed,186.75
A1.2,2024-08-13,Completed,8448.3
A1.3,2024-03-08,Completed,166
A1.4,2024-06-19,Cancelled,3955.95
A1.5,2024-06-28,Completed,5538.33
A1.6,2024-05-25,Cancelled,927.92
A1.7,2024-08-18,Cancelled,3711.68
A1.8,2024-02-10,Completed,1582.38
A1.9,2023-10-18,Cancelled,5538.33
A2.1,2024-01-11,Cancelled,494.06
A2.2,2024-02-23,Completed,4747.14
A2.3,2024-05-27,Completed,4224.15
A2.4,2024-09-23,Completed,8448.3
A2.5,2024-08-22,Completed,103.75
A2.6,2024-08-14,Cancelled,186.75
A2.7,2024-09-01,Cancelled,6329.52
A2.8,2024-03-12,Completed,988.12
A2.9,2024-04-06,Completed,988.12
A3.1,2023-12-12,Cancelled,1482.18
A3.2,2024-02-05,Completed,4747.14
A3.3,2024-02-07,Cancelled,3164.76
A3.4,2024-05-23,Cancelled,186.75
A3.5,2024-07-23,Cancelled,2223.27
A3.6,2024-07-24,Cancelled,5913.81
A3.7,2024-01-05,Completed,494.06
A3.8,2023-10-18,Cancelled,3164.76
A3.9,2024-05-25,Completed,1729.21
A4.1,2023-11-04,Cancelled,741.09
A4.2,2024-02-15,Completed,62.25
A4.3,2024-04-07,Cancelled,3711.68
A4.4,2023-10-14,Cancelled,1482.18
A4.5,2024-08-26,Cancelled,3955.95
A4.6,2024-06-13,Completed,4175.64
A4.7,2024-04-15,Completed,7911.9
A4.8,2023-12-27,Completed,5068.98
A4.9,2024-02-15,Completed,7911.9
A5.1,2024-03-16,Completed,2223.27
A5.2,2024-03-12,Completed,207.5
A5.3,2024-08-10,Completed,103.75
A5.4,2024-06-28,Cancelled,3164.76
A5.5,2024-07-17,Completed,124.5
A5.6,2024-05-10,Completed,988.12
A5.7,2024-01-31,Completed,791.19
A5.8,2023-11-24,Completed,3955.95
A5.9,2023-10-19,Completed,5068.98
A6.1,2023-10-22,Completed,6758.64
A6.2,2024-04-17,Completed,186.75
A6.3,2023-10-12,Completed,247.03
A6.4,2023-11-09,Cancelled,7603.47
A6.5,2024-06-26,Completed,1582.38
A6.6,2024-09-21,Cancelled,20.75
A6.7,2024-06-04,Cancelled,791.19
A6.8,2024-01-12,Completed,1729.21
A6.9,2023-09-30,Completed,5068.98
A7.1,2024-04-18,Completed,4747.14
A7.2,2024-07-22,Completed,3379.32
A7.3,2024-07-31,Completed,186.75
A7.4,2023-10-11,Completed,247.03
A7.5,2024-09-19,Cancelled,6758.64
A7.6,2024-03-11,Completed,2470.3
A7.7,2024-03-04,Cancelled,1235.15
A7.8,2024-03-13,Completed,1729.21
A7.9,2024-03-08,Cancelled,3379.32
A8.1,2024-06-13,Completed,247.03
A8.2,2023-10-08,Completed,844.83
A8.3,2023-11-24,Completed,463.96
A8.4,2024-02-05,Completed,3247.72
A8.5,2024-08-05,Completed,2319.8
A8.6,2023-11-26,Completed,124.5
A8.7,2024-08-21,Completed,6758.64
A8.8,2024-05-05,Completed,186.75
A8.9,2023-11-20,Completed,988.12
A9.1,2024-06-08,Cancelled,4639.6
A9.2,2024-07-12,Completed,3247.72
A9.3,2023-12-07,Completed,3379.32
A9.4,2024-03-21,Cancelled,1855.84
A9.5,2024-05-01,Cancelled,1582.38
A9.6,2024-08-12,Completed,1482.18
A9.7,2024-03-20,Completed,7911.9
A9.8,2024-01-08,Cancelled,3711.68
A9.9,2023-11-18,Completed,4747.14
B1.1,2024-03-31,Completed,1976.24
B1.2,2024-06-29,Completed,463.96
B1.3,2023-10-30,Completed,4747.14
B1.4,2024-03-06,Completed,3711.68
B1.5,2024-08-07,Cancelled,4747.14
B1.6,2023-10-18,Completed,145.25
B1.7,2023-12-23,Completed,6758.64
B1.8,2023-11-03,Completed,1729.21
B1.9,2023-11-28,Completed,7911.9
B2.1,2024-04-19,Completed,166
B2.2,2024-03-24,Cancelled,1582.38
B2.3,2024-08-01,Completed,791.19
B2.4,2024-08-31,Completed,145.25
B2.5,2024-06-21,Completed,186.75
B2.6,2024-06-24,Completed,2373.57
B2.7,2023-10-24,Completed,741.09
B2.8,2023-11-08,Completed,3164.76
B2.9,2024-06-13,Cancelled,5913.81
B3.1,2023-10-06,Cancelled,5913.81
B3.2,2024-01-28,Completed,62.25
B3.3,2024-03-18,Completed,927.92
B3.4,2024-05-25,Cancelled,1482.18
B3.5,2024-01-07,Completed,1391.88
B3.6,2024-04-07,Cancelled,2783.76
B3.7,2024-08-24,Completed,5068.98
B3.8,2023-11-26,Cancelled,4175.64
B3.9,2024-08-23,Cancelled,7120.71
B4.1,2024-08-30,Completed,2534.49
B4.2,2024-06-13,Completed,83
B4.3,2024-01-07,Completed,1729.21
B4.4,2024-06-20,Completed,4747.14
B4.5,2023-12-09,Completed,124.5
B4.6,2024-09-07,Cancelled,3247.72
B4.7,2024-03-17,Cancelled,4747.14
B4.8,2024-05-29,Cancelled,124.5
B4.9,2024-06-08,Cancelled,4639.6
B5.1,2024-06-25,Cancelled,124.5
B5.2,2024-05-11,Completed,2534.49
B5.3,2024-05-31,Cancelled,2470.3
B5.4,2024-09-05,Completed,4224.15
B5.5,2024-05-09,Completed,1689.66
B5.6,2024-05-21,Cancelled,124.5
B5.7,2023-11-19,Completed,2470.3
B5.8,2023-11-21,Completed,5913.81
B5.9,2023-12-09,Completed,1976.24
B6.1,2024-03-23,Cancelled,5913.81
B6.2,2024-06-14,Cancelled,4639.6
B6.3,2023-10-11,Completed,6758.64
B6.4,2023-12-07,Cancelled,186.75
B6.5,2024-01-02,Completed,1391.88
B6.6,2024-09-20,Cancelled,494.06
B6.7,2024-05-16,Cancelled,3711.68
B6.8,2024-03-04,Completed,2373.57
B6.9,2024-06-21,Completed,4224.15
B7.1,2024-04-10,Completed,2223.27
B7.2,2024-06-19,Completed,5913.81
B7.3,2024-08-01,Completed,247.03
B7.4,2024-01-13,Completed,7911.9
B7.5,2024-07-04,Completed,2534.49
B7.6,2024-07-10,Cancelled,124.5
B7.7,2023-12-02,Cancelled,145.25
B7.8,2023-12-30,Completed,1482.18
B7.9,2024-07-07,Completed,2470.3
B8.1,2024-08-22,Completed,3711.68
B8.2,2023-11-21,Cancelled,145.25
B8.3,2023-10-12,Completed,3379.32
B8.4,2023-10-21,Cancelled,7911.9
B8.5,2024-01-11,Cancelled,1235.15
B8.6,2024-08-05,Cancelled,6329.52
B8.7,2023-11-04,Cancelled,2783.76
B8.8,2024-04-16,Completed,4639.6
B8.9,2024-07-16,Cancelled,41.5
B9.1,2023-10-13,Completed,1855.84
B9.2,2023-11-28,Completed,4224.15
B9.3,2024-01-28,Completed,1391.88
B9.4,2023-10-01,Completed,5538.33
B9.5,2024-09-11,Completed,5913.81
B9.6,2024-03-01,Cancelled,463.96
B9.7,2023-09-29,Completed,1582.38
B9.8,2023-10-13,Cancelled,1729.21
B9.9,2024-07-30,Completed,791.19
C1.1,2024-09-07,Completed,1482.18
C1.2,2023-09-25,Cancelled,3955.95
C1.3,2023-11-29,Cancelled,844.83
C1.4,2024-04-24,Completed,5538.33
C1.5,2024-02-25,Completed,2319.8
C1.6,2024-08-12,Completed,1482.18
C1.7,2024-09-15,Completed,4175.64
C1.8,2024-07-02,Completed,8448.3
C1.9,2024-09-05,Cancelled,145.25
C2.1,2024-05-03,Cancelled,741.09
C2.2,2023-09-26,Cancelled,988.12
C2.3,2023-09-30,Cancelled,207.5
C2.4,2024-05-18,Cancelled,463.96
C2.5,2023-12-01,Cancelled,7603.47
C2.6,2024-04-12,Completed,20.75
C2.7,2024-06-13,Completed,2534.49
C2.8,2024-08-04,Cancelled,103.75
C2.9,2024-03-09,Completed,7911.9
C3.1,2024-03-07,Cancelled,1855.84
C3.2,2024-05-15,Completed,145.25
C3.3,2024-06-05,Cancelled,927.92
C3.4,2023-12-18,Completed,7120.71
C3.5,2024-06-10,Completed,2373.57
C3.6,2024-08-04,Cancelled,41.5
C3.7,2024-03-27,Completed,6329.52
C3.8,2024-05-22,Completed,166
C3.9,2024-09-22,Completed,2783.76
C4.1,2024-05-02,Completed,166
C4.2,2024-07-21,Cancelled,7120.71
C4.3,2023-10-11,Completed,3711.68
C4.4,2023-12-06,Completed,20.75
C4.5,2024-01-09,Completed,62.25
C4.6,2024-02-04,Cancelled,3247.72
C4.7,2024-07-26,Completed,1689.66
C4.8,2024-03-28,Completed,2373.57
C4.9,2024-06-17,Completed,741.09
C5.1,2024-03-15,Completed,1235.15
C5.2,2023-09-30,Completed,1482.18
C5.3,2024-07-25,Completed,3164.76
C5.4,2024-09-07,Completed,8448.3
C5.5,2023-11-03,Cancelled,41.5
C5.6,2023-12-30,Completed,1482.18
C5.7,2024-01-05,Cancelled,145.25
C5.8,2024-05-09,Completed,3247.72
C5.9,2023-12-02,Completed,844.83
C6.1,2024-07-22,Completed,7911.9
C6.2,2023-12-05,Completed,5913.81
C6.3,2024-01-15,Completed,463.96
C6.4,2024-07-18,Cancelled,20.75
C6.5,2023-11-10,Completed,1976.24
C6.6,2024-08-15,Completed,1391.88
C6.7,2023-11-02,Completed,3247.72
C6.8,2023-12-27,Cancelled,3379.32
C6.9,2024-04-09,Cancelled,463.96
C7.1,2024-04-29,Completed,844.83
C7.2,2024-09-23,Cancelled,3955.95
C7.3,2024-01-23,Completed,2373.57
C7.4,2024-07-29,Completed,4224.15
C7.5,2024-02-18,Completed,247.03
C7.6,2024-07-15,Completed,1235.15
C7.7,2024-07-17,Completed,1482.18
C7.8,2024-01-31,Completed,103.75
C7.9,2024-08-09,Completed,124.5
C8.1,2023-12-26,Cancelled,3955.95
C8.2,2024-02-05,Completed,103.75
C8.3,2023-11-30,Completed,145.25
C8.4,2024-09-17,Cancelled,3955.95
C8.5,2024-04-06,Completed,4224.15
C8.6,2024-05-07,Cancelled,3379.32
C8.7,2024-06-16,Completed,5913.81
C8.8,2023-09-24,Completed,124.5
C8.9,2023-12-19,Completed,6329.52
C9.1,2024-04-01,Completed,1729.21
C9.2,2023-12-06,Cancelled,1855.84
C9.3,2024-07-05,Completed,5538.33
C9.4,2024-07-27,Cancelled,1689.66
C9.5,2024-09-20,Completed,7603.47
C9.6,2023-10-26,Completed,2223.27
C9.7,2024-03-30,Completed,3379.32
C9.8,2023-11-13,Completed,3711.68
C9.9,2024-01-24,Completed,4175.64
D1.1,2024-05-01,Completed,494.06
D1.2,2024-02-15,Cancelled,41.5
D1.3,2024-06-19,Completed,3164.76
D1.4,2023-11-14,Completed,1689.66
D1.5,2023-11-17,Completed,1482.18
D1.6,2023-10-13,Completed,145.25
D1.7,2023-12-04,Cancelled,4175.64
D1.8,2023-12-14,Completed,3164.76
D1.9,2024-01-09,Completed,1391.88
D2.1,2024-02-26,Completed,2783.76
D2.2,2024-03-26,Completed,62.25
D2.3,2024-05-19,Completed,844.83
D2.4,2024-02-19,Completed,3247.72
D2.5,2024-02-21,Completed,7120.71
D2.6,2023-10-29,Cancelled,741.09
D2.7,2024-04-30,Completed,83
D2.8,2024-06-30,Completed,1976.24
D2.9,2024-05-14,Cancelled,4747.14
D3.1,2023-12-10,Cancelled,6758.64
D3.2,2024-04-25,Completed,2223.27
D3.3,2024-05-20,Completed,3164.76
D3.4,2024-06-15,Completed,3247.72
D3.5,2023-11-08,Cancelled,741.09
D3.6,2024-03-19,Completed,1582.38
D3.7,2024-04-07,Completed,988.12
D3.8,2023-11-22,Completed,927.92
D3.9,2023-12-19,Completed,791.19
D4.1,2024-07-31,Cancelled,4175.64
D4.2,2024-08-21,Completed,7603.47
D4.3,2024-03-19,Completed,103.75
D4.4,2024-06-16,Completed,7911.9
D4.5,2024-02-20,Cancelled,791.19
D4.6,2023-12-14,Completed,1582.38
D4.7,2024-07-08,Cancelled,844.83
D4.8,2023-12-20,Completed,247.03
D4.9,2024-08-01,Cancelled,3711.68
D5.1,2023-11-14,Completed,41.5
D5.2,2024-06-05,Completed,20.75
D5.3,2024-07-02,Completed,5068.98
D5.4,2024-09-01,Completed,6758.64
D5.5,2024-09-08,Completed,7120.71
D5.6,2024-05-06,Completed,3955.95
D5.7,2024-07-24,Completed,186.75
D5.8,2023-09-30,Completed,741.09
D5.9,2024-06-24,Completed,5538.33
D6.1,2023-10-07,Completed,7911.9
D6.2,2024-03-23,Completed,741.09
D6.3,2023-12-20,Completed,844.83
D6.4,2024-05-09,Completed,3164.76
D6.5,2024-06-01,Completed,463.96
D6.6,2024-08-03,Cancelled,4639.6
D6.7,2024-04-27,Completed,7603.47
D6.8,2024-08-13,Completed,1855.84
D6.9,2024-05-12,Completed,3379.32
D7.1,2024-01-11,Completed,83
D7.2,2024-01-31,Completed,1689.66
D7.3,2024-08-05,Completed,145.25
D7.4,2024-06-13,Completed,1391.88
D7.5,2024-08-22,Completed,2319.8
D7.6,2023-12-20,Completed,2470.3
D7.7,2024-02-17,Completed,2470.3
D7.8,2024-05-31,Completed,3955.95
D7.9,2024-02-08,Completed,7911.9
D8.1,2024-09-19,Cancelled,7603.47
D8.2,2024-01-15,Completed,1235.15
D8.3,2024-02-20,Completed,8448.3
D8.4,2023-10-13,Cancelled,207.5
D8.5,2024-02-03,Cancelled,186.75
D8.6,2023-11-01,Cancelled,3379.32
D8.7,2023-11-03,Completed,927.92
D8.8,2024-06-11,Completed,124.5
D8.9,2024-09-05,Cancelled,103.75
D9.1,2024-09-20,Completed,3711.68
D9.2,2023-10-27,Completed,463.96
D9.3,2024-02-10,Completed,7120.71
D9.4,2024-03-11,Completed,2534.49
D9.5,2024-06-07,Cancelled,3164.76
D9.6,2024-08-02,Completed,741.09
D9.7,2024-06-26,Cancelled,6329.52
D9.8,2024-04-16,Completed,2223.27
D9.9,2023-10-31,Completed,3164.76
E1.1,2023-12-07,Completed,62.25
E1.2,2024-02-12,Completed,3247.72
E1.3,2024-04-27,Completed,124.5
E1.4,2024-06-03,Cancelled,5913.81
E1.5,2024-09-14,Cancelled,2534.49
E1.6,2023-11-03,Completed,1855.84
E1.7,2024-05-21,Cancelled,463.96
E1.8,2023-11-14,Completed,2470.3
E1.9,2024-01-01,Cancelled,3164.76
E2.1,2024-05-23,Completed,7603.47
E2.2,2024-05-24,Completed,4224.15
E2.3,2024-08-22,Completed,247.03
E2.4,2024-03-18,Completed,1976.24
E2.5,2024-07-04,Completed,1391.88
E2.6,2024-09-05,Completed,3247.72
E2.7,2024-07-20,Completed,463.96
E2.8,2024-07-25,Completed,741.09
E2.9,2024-01-20,Completed,927.92
E3.1,2024-08-07,Completed,3711.68
E3.2,2024-01-19,Cancelled,494.06
E3.3,2024-02-21,Completed,2373.57
E3.4,2024-04-14,Completed,1235.15
E3.5,2024-04-27,Cancelled,2470.3
E3.6,2023-10-08,Cancelled,20.75
E3.7,2024-08-14,Cancelled,1729.21
E3.8,2023-10-23,Completed,791.19
E3.9,2023-11-10,Completed,1582.38
E4.1,2024-06-03,Completed,1855.84
E4.2,2024-01-08,Cancelled,7911.9
E4.3,2024-01-27,Completed,3164.76
E4.4,2024-02-14,Completed,3955.95
E4.5,2024-05-17,Completed,791.19
E4.6,2024-05-20,Completed,1855.84
E4.7,2024-06-09,Completed,1976.24
E4.8,2023-12-22,Completed,3711.68
E4.9,2024-04-30,Cancelled,2223.27
E5.1,2024-03-08,Completed,2470.3
E5.2,2023-12-08,Completed,2319.8
E5.3,2024-06-01,Completed,7603.47
E5.4,2024-06-18,Completed,5538.33
E5.5,2024-07-09,Completed,124.5
E5.6,2024-01-07,Cancelled,3164.76
E5.7,2024-02-25,Cancelled,3247.72
E5.8,2024-07-02,Completed,741.09
E5.9,2024-05-14,Completed,124.5
E6.1,2024-07-07,Completed,103.75
E6.2,2024-02-01,Completed,62.25
E6.3,2024-05-28,Cancelled,6329.52
E6.4,2024-06-27,Cancelled,7603.47
E6.5,2024-02-12,Cancelled,494.06
E6.6,2023-11-08,Completed,2319.8
E6.7,2024-04-05,Completed,1976.24
E6.8,2024-06-30,Cancelled,3247.72
E6.9,2023-11-03,Completed,6329.52
E7.1,2024-04-26,Completed,844.83
E7.2,2024-05-21,Completed,41.5
E7.3,2024-06-05,Completed,41.5
E7.4,2024-02-08,Completed,20.75
E7.5,2024-05-08,Completed,7603.47
E7.6,2024-06-15,Cancelled,463.96
E7.7,2023-10-02,Completed,741.09
E7.8,2024-05-25,Completed,3711.68
E7.9,2023-11-05,Cancelled,20.75
E8.1,2023-11-09,Cancelled,4175.64
E8.2,2024-05-15,Completed,207.5
E8.3,2024-09-12,Completed,927.92
E8.4,2023-11-30,Cancelled,927.92
E8.5,2024-06-18,Completed,463.96
E8.6,2024-06-13,Completed,4224.15
E8.7,2023-12-02,Cancelled,6329.52
E8.8,2023-12-16,Completed,1235.15
E8.9,2024-03-27,Completed,4175.64
E9.1,2023-10-27,Completed,207.5
E9.2,2024-01-13,Completed,927.92
E9.3,2024-06-13,Completed,5068.98
E9.4,2023-11-19,Completed,3247.72
E9.5,2023-10-18,Completed,41.5
E9.6,2024-01-05,Cancelled,247.03
E9.7,2024-01-06,Completed,3379.32
E9.8,2024-04-01,Completed,3711.68
E9.9,2024-09-10,Cancelled,5068.98
F1.1,2024-02-20,Completed,1976.24
F1.2,2023-11-17,Cancelled,166
F1.3,2024-07-29,Completed,2534.49
F1.4,2024-03-29,Completed,7911.9
F1.5,2024-04-23,Cancelled,3379.32
F1.6,2024-07-17,Completed,7911.9
F1.7,2024-02-08,Completed,988.12
F1.8,2024-01-18,Cancelled,4224.15
F1.9,2024-06-18,Cancelled,5538.33
F2.1,2024-03-24,Cancelled,1976.24
F2.2,2024-05-19,Completed,5068.98
F2.3,2024-07-22,Completed,5538.33
F2.4,2024-05-28,Completed,124.5
F2.5,2023-10-27,Completed,2223.27
F2.6,2024-03-23,Cancelled,4175.64
F2.7,2024-06-13,Completed,927.92
F2.8,2024-07-31,Cancelled,4175.64
F2.9,2024-02-21,Cancelled,3711.68
F3.1,2024-06-08,Completed,41.5
F3.2,2023-11-02,Completed,166
F3.3,2024-07-15,Completed,8448.3
F3.4,2023-12-05,Completed,186.75
F3.5,2024-02-13,Completed,741.09
F3.6,2023-10-01,Completed,4639.6
F3.7,2024-04-07,Cancelled,2319.8
F3.8,2023-10-22,Completed,2534.49
F3.9,2024-08-11,Completed,2223.27
F4.1,2024-04-26,Completed,1235.15
F4.2,2024-05-09,Completed,5913.81
F4.3,2023-11-17,Cancelled,2534.49
F4.4,2024-04-04,Completed,1582.38
F4.5,2024-09-18,Cancelled,4224.15
F4.6,2024-09-11,Completed,2223.27
F4.7,2024-05-24,Completed,741.09
F4.8,2024-04-22,Completed,5068.98
F4.9,2024-08-16,Cancelled,3247.72
F5.1,2024-08-30,Completed,4224.15
F5.2,2024-06-18,Cancelled,247.03
F5.3,2024-05-18,Completed,186.75
F5.4,2024-06-13,Completed,463.96
F5.5,2023-11-07,Completed,1235.15
